Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Dwellings, Place of Enumeration"
"SA2 by HCFMD Family Household Composition (Dwelling)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"HCFMD Family Household Composition (Dwelling)","One family household: Couple family with no children","One family household: Couple family with children","One family household: One parent family","One family household: Other family","Two family household: Couple family with no children","Two family household: Couple family with children","Two family household: One parent family","Two family household: Other family","Three or more family household: Couple family with no children","Three or more family household: Couple family with children","Three or more family household: One parent family","Three or more family household: Other family","Lone person household","Group household","Visitors only household","Other non-classifiable household","Not applicable","Total",
"Campbellfield - Coolaroo",800,1819,774,79,38,100,56,8,5,5,4,0,932,136,29,303,388,5475,
"Gladstone Park - Westmeadows",1492,2167,873,79,36,72,31,0,0,0,0,0,1215,121,46,262,401,6799,
"Greenvale - Bulla",1008,2598,433,40,38,120,35,0,4,8,0,0,364,42,21,141,324,5168,
"Meadow Heights",595,1885,723,63,29,104,64,4,0,6,0,0,555,94,16,219,303,4662,
"Melbourne Airport",3,9,0,0,0,0,0,0,0,0,0,0,11,0,0,5,5,32,
"Roxburgh Park - Somerton",615,3163,691,62,38,215,53,3,0,19,0,0,478,72,19,229,304,5969,
"Tullamarine",614,646,348,35,15,16,12,0,0,0,0,0,807,96,21,141,228,2985,
"Craigieburn - Central",465,1084,393,27,21,62,16,0,0,9,0,0,412,64,7,120,153,2828,
"Craigieburn - North",428,1792,367,36,21,98,30,0,4,4,0,0,301,50,13,149,154,3448,
"Craigieburn - South",870,2301,629,43,31,123,44,3,0,8,4,0,589,106,13,181,235,5179,
"Craigieburn - West",763,2037,449,55,39,131,23,0,6,3,0,0,508,83,15,138,305,4560,
"Mickleham - Yuroke",271,473,100,9,9,27,3,0,0,4,0,0,120,16,7,42,92,1175,
"Bayswater",1081,1358,574,59,28,43,16,5,0,3,0,0,1261,160,20,193,365,5159,
"Knoxfield - Scoresby",1293,2068,581,57,38,75,28,0,0,0,0,0,876,120,18,125,353,5633,
"Lysterfield",414,1133,143,11,11,24,8,0,0,0,0,0,161,15,6,70,99,2094,
"Rowville - Central",1115,2306,550,56,27,71,22,0,0,5,0,0,798,96,14,117,265,5443,
"Rowville - North",550,1310,230,26,19,33,12,0,0,0,0,0,330,24,9,28,160,2727,
"Rowville - South",795,1754,247,29,17,42,12,0,0,0,0,0,364,45,18,64,174,3569,
"Wantirna",1294,1866,494,57,24,61,16,0,0,0,0,0,876,100,28,129,342,5293,
"Wantirna South",1483,2428,574,64,46,102,28,3,0,4,0,0,1173,124,44,90,442,6611,
"Boronia",2124,2430,1082,93,28,62,28,3,0,0,0,0,2374,279,51,353,643,9557,
"Ferntree Gully (North)",1276,1602,643,47,21,34,24,0,0,0,0,0,1432,164,40,189,428,5896,
"Ferntree Gully (South) - Upper Ferntree Gully",1281,1991,610,53,18,35,27,0,0,0,0,0,966,103,26,106,343,5568,
"The Basin",392,593,167,10,8,5,9,0,0,0,0,0,252,36,12,44,100,1620,
"Donvale - Park Orchards",1333,2323,446,47,30,65,12,0,0,0,0,0,900,67,32,128,406,5779,
"Warrandyte - Wonga Park",771,1552,229,18,27,32,12,0,0,0,0,0,364,42,42,85,222,3388,
"Bayswater North",876,1532,510,47,9,41,19,0,0,0,0,0,988,102,8,156,250,4549,
"Croydon Hills - Warranwood",1399,2791,592,51,28,38,17,0,0,0,0,0,806,89,20,112,379,6315,
"Ringwood",1564,1948,700,90,22,53,14,3,0,4,0,0,1895,279,52,190,637,7455,
"Ringwood East",1822,2557,772,95,27,48,31,0,0,0,3,0,1784,237,40,202,596,8209,
"Ringwood North",874,1392,291,23,7,24,10,0,0,0,0,0,504,54,6,67,219,3470,
"Croydon - East",1444,1574,739,77,23,33,20,0,0,0,0,0,1902,206,31,279,518,6843,
"Croydon - West",1246,1576,573,46,14,29,12,0,0,4,0,0,1413,122,22,138,422,5631,
"Croydon South",450,616,216,15,9,14,9,0,0,0,0,0,330,44,12,50,119,1879,
"Forest Hill",926,1337,403,62,21,38,14,0,0,0,0,0,1001,130,27,89,309,4370,
"Mitcham (Vic.)",1553,2099,540,63,27,39,14,0,0,0,0,0,1546,203,42,179,504,6808,
"Nunawading",1013,1493,397,57,20,46,14,0,0,4,0,0,1082,169,36,144,331,4807,
"Vermont",846,1499,365,30,13,43,14,0,0,0,0,0,768,86,24,57,265,4014,
"Vermont South",1121,1634,343,33,31,64,20,0,0,0,0,0,606,71,24,51,271,4263,
"Belgrave - Selby",866,1388,366,26,15,31,11,0,0,0,0,0,530,74,30,145,231,3718,
"Chirnside Park",959,1275,357,43,26,41,19,0,0,5,0,0,574,69,15,68,315,3753,
"Healesville - Yarra Glen",1417,1558,554,31,20,29,12,0,0,0,0,0,1229,105,52,229,512,5756,
"Kilsyth",901,1006,400,37,9,23,21,0,0,0,0,0,917,71,12,130,346,3877,
"Lilydale - Coldstream",1742,2350,779,59,31,45,24,0,0,0,0,0,1497,124,42,199,534,7439,
"Monbulk - Silvan",543,716,196,16,8,31,4,0,0,0,0,0,329,40,5,56,187,2144,
"Montrose",606,884,207,21,9,27,12,0,0,3,0,0,419,31,11,68,176,2481,
"Mooroolbark",1840,2892,924,81,31,80,48,0,0,5,0,0,1383,180,27,212,586,8285,
"Mount Dandenong - Olinda",1094,1236,301,16,13,20,13,0,0,0,0,0,690,71,33,164,433,4090,
"Mount Evelyn",809,1318,335,28,20,45,22,0,0,0,0,0,561,52,10,96,234,3531,
"Upwey - Tecoma",852,1326,369,38,10,14,19,0,0,0,0,0,690,86,25,95,239,3769,
"Wandin - Seville",686,1052,215,22,18,33,12,0,0,0,3,0,389,37,9,76,235,2786,
"Yarra Valley",1535,1771,748,40,32,35,31,0,0,0,0,0,1525,158,47,309,783,7022,
"Beaconsfield - Officer",1012,1920,441,39,17,46,14,0,0,0,0,0,644,100,22,132,363,4741,
"Bunyip - Garfield",835,1111,234,25,15,15,9,0,0,0,0,0,528,57,23,157,263,3259,
"Emerald - Cockatoo",1575,2458,585,23,29,69,20,0,0,0,0,0,909,108,44,294,466,6576,
"Koo Wee Rup",687,924,245,24,12,20,10,0,0,0,0,0,523,44,15,162,209,2872,
"Pakenham - North",1514,2208,957,61,17,51,33,0,0,5,0,0,1279,197,23,332,440,7114,
"Pakenham - South",2100,3651,1272,103,37,99,45,0,3,3,0,0,1899,215,46,403,708,10584,
"Berwick - North",2097,3010,818,74,33,68,28,0,0,0,0,0,1865,132,40,209,680,9065,
"Berwick - South",1361,4215,851,60,32,116,45,5,0,8,0,0,791,153,21,217,388,8274,
"Doveton",727,1061,606,90,20,51,30,4,3,0,0,0,939,236,19,214,340,4345,
"Hallam",720,1335,423,36,30,77,26,0,0,7,0,0,599,82,8,106,227,3680,
"Narre Warren North",537,1123,134,16,28,69,10,4,0,6,0,0,182,20,3,81,143,2359,
"Endeavour Hills - North",834,1660,429,42,17,83,30,5,0,0,0,0,534,74,15,138,257,4116,
"Endeavour Hills - South",1059,1848,500,42,37,97,26,0,0,0,0,0,569,87,15,155,274,4722,
"Narre Warren - North East",883,1956,510,47,35,74,27,4,0,3,0,0,591,82,14,104,267,4593,
"Narre Warren - South West",1034,1716,566,59,42,79,39,4,0,10,0,0,941,142,29,179,275,5112,
"Cranbourne",1387,2280,1022,100,30,98,50,4,0,6,4,0,1546,199,38,401,468,7647,
"Cranbourne East",1869,3722,758,78,45,168,45,3,5,6,0,0,995,151,26,273,718,8873,
"Cranbourne North",1087,2896,782,67,36,121,52,0,3,14,0,0,786,109,21,295,318,6592,
"Cranbourne South",767,1203,211,27,17,48,25,0,0,4,0,0,419,51,12,125,190,3097,
"Cranbourne West",969,2079,605,63,31,105,40,6,0,10,0,0,626,113,22,175,255,5089,
"Hampton Park - Lynbrook",1252,3340,1052,101,54,193,74,3,4,9,8,0,1183,210,30,447,379,8331,
"Lynbrook - Lyndhurst",671,2424,305,36,42,168,24,5,9,5,0,0,307,63,13,196,158,4433,
"Pearcedale - Tooradin",686,1013,251,25,9,28,17,0,0,0,0,0,466,52,12,158,160,2882,
"Narre Warren South (East)",688,2112,352,29,20,96,27,6,0,3,0,0,262,42,12,92,139,3867,
"Narre Warren South (West)",800,2446,558,38,45,125,43,6,3,9,0,0,453,78,9,168,181,4972,
"Clarinda - Oakleigh South",917,1538,463,62,25,55,28,0,0,0,0,0,696,103,17,138,268,4326,
"Clayton South",1039,1460,453,98,46,81,16,5,0,3,0,0,803,281,41,185,306,4822,
"Dandenong",1761,3015,1129,199,67,211,60,0,4,18,0,0,2574,753,92,743,966,11591,
"Dandenong North",1640,2710,1005,134,55,121,44,5,0,3,6,0,1447,223,30,301,512,8232,
"Dingley Village",932,1470,344,24,26,22,20,0,0,0,0,0,734,61,27,94,234,3981,
"Keysborough",1666,3603,852,110,79,239,74,6,8,12,6,0,1012,154,27,198,460,8525,
"Noble Park North",581,886,368,61,16,36,25,0,0,0,0,0,532,64,14,106,175,2866,
"Springvale",1279,2207,819,177,56,209,83,10,10,23,6,0,1366,414,57,360,447,7527,
"Springvale South",669,1430,549,55,47,141,57,11,4,14,7,0,610,130,23,110,193,4058,
"Noble Park - East",975,1217,548,100,35,68,21,8,0,3,0,0,1285,245,19,224,441,5197,
"Noble Park - West",1171,1987,870,134,64,140,67,5,0,9,0,0,1362,254,39,266,416,6790,
"Ashwood - Chadstone",1509,2027,715,113,32,54,22,5,0,3,0,0,1548,481,58,366,653,7574,
"Clayton",1461,1500,450,182,41,63,14,0,0,0,0,0,1680,1581,150,349,647,8119,
"Glen Waverley - East",1766,3031,655,92,36,111,37,3,0,0,0,0,1180,174,53,115,650,7904,
"Glen Waverley - West",1380,2626,724,114,38,97,23,3,0,4,0,0,1118,283,67,174,663,7309,
"Mount Waverley - North",1331,2092,573,79,31,66,12,0,0,0,0,0,1023,191,48,124,515,6092,
"Mount Waverley - South",1549,2449,593,93,22,91,19,3,0,4,0,0,1307,233,52,221,604,7240,
"Mulgrave",1686,2587,667,103,50,80,35,0,0,4,0,0,1078,212,32,227,428,7196,
"Oakleigh - Huntingdale",1732,2612,715,162,26,53,39,3,0,5,0,0,1623,520,49,323,718,8586,
"Wheelers Hill",1931,2739,626,73,46,88,44,3,0,3,0,0,1084,97,34,144,577,7479,
"Ardeer - Albion",600,690,343,78,15,23,13,0,0,4,0,0,899,196,18,204,276,3367,
"Cairnlea",351,1376,333,41,32,115,35,5,4,5,9,0,211,51,11,84,89,2748,
"Deer Park - Derrimut",1467,3344,1138,119,67,192,69,4,0,9,3,0,1224,230,29,423,469,8792,
"Delahey",477,1117,388,31,23,49,19,0,0,0,3,0,495,33,7,92,178,2912,
"Keilor Downs",1085,1661,625,60,29,79,38,0,0,3,0,0,682,77,15,142,332,4842,
"Kings Park (Vic.)",933,1552,769,78,34,98,58,3,0,4,0,0,733,114,21,208,243,4845,
"St Albans - North",1350,1953,1089,150,57,139,73,0,0,4,5,0,1524,306,57,416,600,7731,
"St Albans - South",1025,1689,895,131,53,147,76,12,0,6,7,0,1032,237,41,336,357,6034,
"Sunshine",648,993,384,82,21,49,18,6,7,0,0,0,791,231,21,204,284,3739,
"Sunshine North",662,1210,614,88,25,100,48,4,9,5,4,0,736,137,25,152,267,4085,
"Sunshine West",1322,1980,935,140,45,122,53,6,4,8,4,0,1190,247,37,266,503,6856,
"Sydenham",657,1617,516,62,20,56,27,5,0,4,0,0,601,98,6,168,228,4070,
"Taylors Lakes",1210,2748,501,63,39,90,45,0,0,6,0,0,628,49,21,171,301,5867,
"Altona",1359,1426,471,67,16,23,17,0,0,0,0,0,1578,168,31,249,557,5967,
"Altona Meadows",1596,2382,898,103,35,55,37,3,0,5,0,0,1563,198,36,264,429,7604,
"Altona North",1222,1488,664,102,16,38,24,3,0,4,0,0,1331,194,27,270,407,5786,
"Newport",1580,2349,611,91,17,27,15,0,0,0,0,0,1516,293,53,233,646,7436,
"Seabrook",346,777,177,17,12,27,12,0,0,0,0,0,230,33,8,81,75,1790,
"Williamstown",1330,2099,519,67,6,21,9,0,0,0,0,0,1483,111,57,282,631,6613,
"Braybrook",1184,1740,865,184,34,88,49,6,0,0,0,0,1539,482,116,350,538,7184,
"Footscray",1524,1161,487,164,32,28,9,7,0,0,0,0,2127,898,139,509,682,7773,
"Maribyrnong",1116,1361,351,106,21,43,8,3,0,3,0,0,1017,376,54,291,445,5191,
"Seddon - Kingsville",915,1094,277,52,3,11,6,0,0,0,0,0,982,277,23,189,388,4209,
"West Footscray - Tottenham",1013,1188,413,78,19,31,15,0,0,0,0,0,1154,394,40,255,451,5046,
"Yarraville",1448,1809,461,87,10,27,7,0,0,0,0,0,1299,382,36,261,499,6334,
"Bacchus Marsh",1788,2529,869,53,32,49,32,0,0,0,0,0,1613,130,43,347,546,8033,
"Hillside",1227,3184,640,67,37,101,30,0,0,7,3,0,638,68,20,270,314,6617,
"Melton",1463,2028,1067,72,33,64,39,0,0,4,0,0,1515,211,30,379,508,7416,
"Melton South",1737,2742,1151,103,44,73,53,6,0,4,4,0,1586,258,24,438,639,8853,
"Melton West",1229,2156,918,60,27,61,49,7,0,0,0,0,928,150,28,314,336,6259,
"Rockbank - Mount Cottrell",139,161,72,6,5,11,4,0,0,0,0,0,160,23,15,120,70,796,
"Taylors Hill",842,3220,498,44,38,130,25,0,0,6,5,0,499,48,7,167,227,5753,
"Burnside",294,645,162,7,15,40,12,0,0,4,0,0,274,16,6,39,120,1629,
"Burnside Heights",218,977,199,17,9,47,14,0,0,0,4,0,108,27,4,61,81,1776,
"Caroline Springs",1073,3039,685,61,32,85,43,6,0,7,0,0,799,111,25,275,373,6616,
"Hoppers Crossing - North",1253,2643,808,66,33,108,39,3,0,8,3,0,972,119,23,274,371,6720,
"Hoppers Crossing - South",1490,2428,845,65,47,103,54,0,0,3,0,0,1166,199,15,259,413,7087,
"Laverton",594,1076,315,64,28,65,21,0,0,5,0,0,512,170,26,148,397,3418,
"Tarneit",1740,5288,980,85,72,295,72,4,3,18,4,0,996,168,31,449,499,10715,
"Truganina",1293,3305,539,77,59,209,29,6,0,12,0,0,672,191,28,292,446,7157,
"Werribee - South",1039,1300,475,41,20,26,18,0,0,0,0,0,1100,117,66,228,537,4965,
"Wyndham Vale",1423,3149,1086,73,36,109,55,0,0,9,0,0,1115,187,32,299,472,8041,
"Point Cook - East",813,1950,335,38,17,66,24,0,0,4,0,0,325,90,49,167,529,4419,
"Point Cook - North",1332,3775,643,65,29,119,43,0,0,0,0,0,792,156,35,237,432,7667,
"Point Cook - South",800,2446,340,37,22,108,24,3,0,4,0,0,391,114,35,152,347,4823,
"Werribee - East",1350,2226,1053,87,35,87,36,5,4,5,4,0,1605,212,35,384,428,7558,
"Werribee - West",1016,1503,492,38,18,56,24,0,0,0,0,0,872,115,14,172,387,4716,
"Carrum Downs",1502,2373,1099,88,34,66,54,0,0,0,0,0,1853,270,36,408,446,8237,
"Frankston",1997,1968,1330,119,26,42,32,0,0,0,0,0,3264,448,114,686,1081,11121,
"Frankston North",1681,1631,1365,130,18,34,38,3,0,5,0,0,2186,321,52,495,645,8592,
"Frankston South",1752,2398,635,41,21,46,17,0,0,0,0,0,1503,103,53,184,560,7324,
"Langwarrin",1981,3149,1013,93,42,70,55,0,0,3,0,0,1715,165,37,308,475,9108,
"Seaford (Vic.)",1539,1662,893,77,15,21,25,0,0,0,0,0,2275,243,58,422,747,7981,
"Skye - Sandhurst",1008,1951,445,46,26,61,20,0,0,0,0,0,516,82,22,120,279,4573,
"Dromana",1523,1008,447,24,16,15,18,0,0,0,0,0,1239,113,109,141,3378,8021,
"Flinders",712,583,121,12,4,16,0,0,0,0,0,0,403,20,76,105,1688,3747,
"Hastings - Somers",2194,2237,983,67,27,54,36,0,0,0,0,0,2168,198,89,424,1633,10107,
"Mornington",2788,2370,1050,76,27,32,33,0,0,0,0,0,2899,229,85,324,1414,11322,
"Mount Eliza",1749,2576,423,23,18,30,13,0,0,0,0,0,1047,68,38,166,661,6820,
"Mount Martha",1851,2536,560,23,23,33,13,0,0,0,0,0,1286,66,50,173,1561,8167,
"Point Nepean",2225,1491,640,48,13,20,30,0,0,0,4,0,2085,144,261,392,12803,20156,
"Rosebud - McCrae",2571,1704,979,66,21,33,29,0,0,0,0,0,3105,216,185,389,4453,13747,
"Somerville",1699,2173,787,45,36,67,30,0,0,5,0,0,1331,110,33,288,414,7020,
"Ararat",890,667,338,36,4,10,8,0,0,0,0,0,1022,111,80,96,462,3713,
"Ararat Region",415,305,72,10,0,4,0,0,0,0,0,0,313,23,18,134,295,1590,
"Horsham",1802,1617,691,68,9,11,16,0,0,0,0,0,2104,168,62,240,856,7640,
"Horsham Region",402,408,86,3,0,3,3,0,0,0,0,0,328,11,9,40,294,1601,
"Nhill Region",913,637,195,26,3,9,3,0,0,0,0,0,917,72,40,112,754,3676,
"St Arnaud",460,297,116,11,0,3,0,0,0,0,0,0,542,37,9,49,301,1820,
"Stawell",1006,734,280,34,7,5,6,0,0,0,0,0,1061,110,140,217,707,4295,
"West Wimmera",369,271,66,14,0,0,0,0,0,0,0,0,395,17,19,36,422,1613,
"Yarriambiack",850,562,227,14,5,7,7,0,0,0,0,0,931,56,45,147,693,3546,
"Irymple",695,894,193,12,9,20,12,0,0,0,0,0,485,36,24,100,190,2668,
"Merbein",474,521,178,11,5,16,11,0,0,5,0,0,413,33,16,109,106,1904,
"Mildura Region",469,362,93,10,0,3,0,0,0,0,0,0,442,36,87,102,394,2003,
"Red Cliffs",564,616,240,19,8,12,8,0,0,0,0,0,552,47,23,173,244,2511,
"Mildura - North",1678,1488,972,83,18,19,23,0,0,0,0,0,2242,299,189,557,907,8483,
"Mildura - South",1601,1443,624,48,14,28,26,6,0,0,0,0,1542,162,164,289,610,6544,
"Buloke",783,549,176,21,3,8,3,0,0,0,0,0,845,66,49,188,516,3215,
"Gannawarra",941,652,176,23,3,3,6,0,0,0,0,0,799,49,30,120,533,3329,
"Kerang",451,349,142,11,0,4,0,0,0,0,0,0,573,40,28,109,254,1964,
"Robinvale",283,299,108,17,4,11,5,0,0,0,0,0,256,51,67,141,168,1407,
"Swan Hill",1071,1024,438,47,5,15,7,0,0,0,0,0,1257,160,91,358,460,4934,
"Swan Hill Region",696,667,148,12,9,10,8,0,0,0,0,0,549,48,86,298,339,2857,
"Echuca",1623,1414,588,35,15,15,12,0,0,0,0,0,1564,166,85,268,801,6603,
"Kyabram",1213,1141,397,36,6,13,9,0,0,0,0,0,1142,78,47,231,423,4736,
"Lockington - Gunbower",459,429,91,9,4,10,0,0,0,0,0,0,272,24,24,100,252,1671,
"Rochester",488,378,139,11,4,0,0,0,0,0,0,0,434,32,17,63,220,1786,
"Rushworth",551,343,162,8,3,7,8,0,0,0,0,0,501,45,20,110,372,2135,
"Cobram",768,549,251,17,3,5,10,0,0,0,0,0,763,63,61,141,333,2958,
"Moira",316,271,81,10,5,0,0,0,0,0,0,0,219,23,19,62,400,1406,
"Numurkah",1390,1235,480,36,20,18,22,0,0,0,0,0,1304,107,74,217,653,5545,
"Yarrawonga",1012,655,291,17,3,15,8,0,0,0,0,0,873,77,51,212,680,3878,
"Mooroopna",784,675,454,22,9,7,11,0,0,0,0,0,1052,99,32,223,360,3731,
"Shepparton - North",1610,1886,865,63,15,48,26,0,0,0,0,0,1924,235,81,439,764,7951,
"Shepparton - South",2103,2454,915,74,33,61,33,0,0,8,0,0,1984,257,105,558,815,9401,
"Shepparton Region - East",400,504,87,14,0,7,3,0,0,0,0,0,262,20,13,74,189,1577,
"Shepparton Region - West",1055,1104,305,27,8,20,8,0,0,0,0,0,905,91,44,249,419,4235,
"Glenelg (Vic.)",1135,835,260,31,11,8,8,0,0,0,0,0,1070,63,68,208,902,4595,
"Hamilton (Vic.)",1179,962,388,26,7,3,3,0,0,0,0,0,1361,105,56,133,719,4942,
"Portland",1192,1002,496,30,3,4,18,0,0,0,0,0,1362,118,64,259,800,5347,
"Southern Grampians",754,676,168,9,0,0,3,0,0,0,0,0,663,37,49,122,628,3110,
"Camperdown",425,301,153,9,0,4,0,0,0,0,0,0,474,37,25,75,193,1701,
"Colac",1194,1155,522,62,14,14,14,0,0,0,0,0,1553,176,53,245,614,5610,
"Colac Region",633,590,162,21,0,3,7,0,0,0,0,0,506,47,15,106,354,2447,
"Corangamite - North",604,521,174,18,0,4,3,0,0,0,0,0,661,44,27,144,491,2689,
"Corangamite - South",812,803,209,36,3,3,3,0,0,0,0,0,665,48,49,142,583,3361,
"Otway",436,273,114,9,3,0,0,0,0,0,0,0,481,41,126,112,2116,3702,
"Moyne - East",737,750,194,26,4,10,0,0,0,0,0,0,579,53,37,145,594,3125,
"Moyne - West",1114,1041,272,32,4,13,13,0,0,0,0,0,876,71,99,177,1097,4795,
"Warrnambool - North",2090,2268,943,73,12,12,13,0,0,0,0,0,2097,276,52,377,854,9068,
"Warrnambool - South",1344,1165,464,49,7,13,6,0,0,0,0,0,1674,234,105,387,791,6245,
"Migratory - Offshore - Shipping (Vic.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,
"Total",529737,685045,217683,27295,8037,17708,8038,481,283,718,237,27,521831,95585,24739,104841,283257,2525539,

"Dataset: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
