Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Dwellings, Place of Enumeration"
"SA2 by HCFMD Family Household Composition (Dwelling)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"HCFMD Family Household Composition (Dwelling)","One family household: Couple family with no children","One family household: Couple family with children","One family household: One parent family","One family household: Other family","Two family household: Couple family with no children","Two family household: Couple family with children","Two family household: One parent family","Two family household: Other family","Three or more family household: Couple family with no children","Three or more family household: Couple family with children","Three or more family household: One parent family","Three or more family household: Other family","Lone person household","Group household","Visitors only household","Other non-classifiable household","Not applicable","Total",
"Seymour",601,497,371,27,3,14,7,0,0,0,0,0,834,94,48,243,300,3028,
"Seymour Region",434,526,105,4,10,10,8,0,0,0,0,0,246,23,32,109,311,1815,
"Upper Yarra Valley",20,17,9,0,0,0,0,0,0,0,0,0,35,0,7,5,39,132,
"Yea",488,305,113,8,3,10,5,0,0,0,0,0,453,40,36,97,471,2017,
"Benalla",1308,794,501,40,4,15,9,0,0,0,0,0,1532,120,52,243,548,5157,
"Benalla Region",521,358,84,3,8,5,6,0,0,0,0,0,287,32,18,120,264,1697,
"Rutherglen",462,390,158,15,0,4,3,0,0,0,0,0,444,38,27,62,205,1821,
"Wangaratta",2005,1750,878,71,15,19,11,3,0,0,0,0,2525,211,81,330,907,8808,
"Wangaratta Region",1245,1107,212,24,19,11,8,0,0,0,0,0,789,69,56,223,500,4265,
"Beechworth",561,406,173,13,0,3,7,0,0,0,0,0,462,47,42,97,296,2099,
"Bright - Mount Beauty",1034,704,253,12,0,9,0,0,0,0,0,0,934,99,845,256,1591,5738,
"Chiltern - Indigo Valley",383,349,93,4,5,8,6,0,0,0,0,0,276,29,13,59,97,1319,
"Myrtleford",602,420,164,20,0,9,5,0,0,0,0,0,584,33,23,82,320,2268,
"Towong",850,529,152,12,9,8,0,0,0,0,0,0,703,48,45,128,606,3098,
"West Wodonga",1509,1631,713,42,17,13,16,0,0,0,5,0,1313,151,44,222,466,6155,
"Wodonga",2362,2509,1113,85,8,27,22,3,0,0,0,0,2412,293,122,474,918,10363,
"Yackandandah",539,569,110,5,9,12,7,0,0,0,0,0,313,25,30,40,175,1822,
"Drouin",1720,1735,653,51,25,33,9,0,0,0,0,0,1450,143,35,354,520,6715,
"Mount Baw Baw Region",750,634,166,9,5,14,14,0,0,0,0,0,524,38,42,127,552,2891,
"Trafalgar (Vic.)",916,818,279,15,7,11,9,0,0,0,0,0,699,50,21,187,343,3342,
"Warragul",2045,2006,743,57,20,29,17,0,0,0,0,0,1797,158,55,329,789,8049,
"Alps - East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Bairnsdale",1629,1302,655,52,13,15,15,0,0,0,0,0,1770,133,64,437,731,6821,
"Bruthen - Omeo",1052,777,229,24,6,19,8,0,0,0,0,0,723,57,57,178,712,3838,
"Lake King",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lakes Entrance",1414,786,349,20,4,3,10,3,0,0,0,0,1217,96,121,279,1527,5837,
"Orbost",840,500,232,23,3,0,6,0,0,0,0,0,977,64,97,188,1164,4098,
"Paynesville",1102,434,173,13,11,8,12,0,0,0,0,0,755,67,57,117,945,3696,
"Foster",1206,745,243,22,3,7,4,0,0,0,0,0,1148,81,139,304,3071,6974,
"French Island",19,6,0,0,0,0,0,0,0,0,0,0,25,0,0,3,49,101,
"Korumburra",1062,942,313,22,14,19,20,0,0,3,0,0,896,53,32,165,574,4110,
"Leongatha",1281,1165,386,22,5,10,9,0,0,0,0,0,1107,86,41,241,571,4920,
"Phillip Island",1309,871,435,23,15,12,8,0,0,0,0,0,1324,96,207,201,6753,11261,
"Wilsons Promontory",0,5,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,18,
"Wonthaggi - Inverloch",2819,1879,909,68,13,19,23,0,0,0,0,0,3014,258,245,518,4699,14471,
"Churchill",1285,1255,463,33,13,14,10,0,0,0,0,0,890,104,40,266,498,4879,
"Moe - Newborough",1678,1453,945,50,13,17,27,0,0,0,0,0,2413,185,51,379,1029,8240,
"Morwell",1333,1038,829,54,7,18,15,0,0,0,0,0,2135,177,53,464,883,7007,
"Traralgon",2675,2797,1170,84,10,27,34,0,0,0,0,0,2982,288,120,616,1295,12090,
"Yallourn North - Glengarry",491,561,153,15,0,10,6,0,0,0,0,0,358,42,5,79,165,1887,
"Alps - West",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,13,
"Longford - Loch Sport",569,385,100,11,6,7,4,0,0,0,0,0,498,45,56,142,2259,4068,
"Maffra",1629,1459,488,43,3,17,10,0,0,0,0,0,1426,105,50,270,917,6405,
"Rosedale",468,467,113,17,6,7,4,0,0,0,0,0,318,32,14,85,133,1659,
"Sale",1477,1480,639,53,13,9,5,0,0,0,0,0,1772,177,139,332,836,6931,
"Yarram",730,450,178,13,3,6,5,0,0,0,0,0,730,57,30,140,743,3087,
"Brunswick",2859,1847,590,216,27,21,22,8,0,0,0,0,3141,1815,94,540,1121,12309,
"Brunswick East",1308,835,289,97,4,13,4,0,0,0,0,0,1512,713,42,290,570,5672,
"Brunswick West",1373,1240,427,107,14,14,7,4,3,0,0,0,1891,668,59,314,647,6751,
"Coburg",2275,2989,812,174,37,50,40,0,0,3,0,0,2272,954,49,366,854,10882,
"Pascoe Vale South",727,1417,317,61,7,16,12,0,0,0,0,0,700,110,16,157,291,3833,
"Alphington - Fairfield",814,1028,258,45,11,9,5,0,0,0,0,0,1012,264,30,162,324,3965,
"Northcote",2236,2660,729,153,17,19,17,5,0,0,0,0,2609,997,100,557,950,11051,
"Thornbury",1681,1924,560,121,20,26,14,0,0,0,0,0,2310,727,67,412,717,8582,
"Ascot Vale",1325,1618,547,113,10,21,13,3,0,0,0,0,1612,437,53,343,529,6624,
"Essendon - Aberfeldie",2315,3504,800,162,33,40,19,0,0,3,0,0,2999,447,83,552,1083,12029,
"Flemington",862,741,452,125,7,8,6,0,0,0,0,0,1413,472,48,403,389,4923,
"Moonee Ponds",1324,1701,384,102,11,18,7,0,0,0,0,0,1571,368,44,230,608,6368,
"Carlton",1271,510,422,313,6,0,5,0,0,0,0,0,3670,2082,402,731,1147,10554,
"Docklands",1552,632,202,127,9,13,3,0,0,0,0,0,1431,703,289,586,961,6510,
"East Melbourne",736,261,65,33,0,0,0,0,0,0,0,0,860,205,90,219,481,2961,
"Flemington Racecourse",4,4,0,0,0,0,0,0,0,0,0,0,9,3,0,11,3,40,
"Kensington (Vic.)",1216,950,292,93,4,5,5,0,0,0,0,0,1386,540,47,304,412,5257,
