Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) by STRD Dwelling Structure"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"STRD Dwelling Structure","Separate house","Semi-detached, row or terrace house, townhouse etc. with one storey","Semi-detached, row or terrace house, townhouse etc. with two or more storeys","Flat or apartment in a one or two storey block","Flat or apartment in a three storey block","Flat or apartment in a four to eight storey block","Flat or apartment in a nine or more storey block","Flat or apartment attached to a house","Caravan","Cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.","Not stated","Not applicable","Total",
"SA2 (EN)",
"Yea",2230,4,0,5,0,0,0,0,12,23,0,0,8,5,2286,
"Benalla",4604,733,3,8,0,0,0,0,27,7,0,16,17,11,5429,
"Benalla Surrounds",1785,0,0,3,0,0,0,0,19,13,0,0,3,0,1825,
"Rutherglen",1740,133,0,7,0,0,0,6,15,0,3,7,7,12,1928,
"Wangaratta",7730,1290,94,0,0,0,0,3,13,7,9,17,9,25,9206,
"Wangaratta Surrounds",4385,11,5,5,0,0,0,0,33,19,5,6,5,6,4475,
"Beechworth",2151,82,0,16,0,0,0,0,10,4,0,18,16,6,2312,
"Bright - Mount Beauty",4428,280,85,229,55,52,60,9,41,13,4,17,51,189,5515,
"Chiltern - Indigo Valley",1350,43,0,8,0,0,0,0,17,3,3,10,10,0,1454,
"Myrtleford",2116,126,0,8,0,0,0,0,12,0,0,5,8,6,2283,
"Towong",2993,44,0,22,0,0,0,0,14,9,0,6,0,15,3115,
"West Wodonga",5669,516,30,205,0,0,0,5,43,0,4,0,13,7,6485,
"Yackandandah",2006,42,0,16,0,0,0,0,15,0,0,0,4,3,2082,
"Baranduda - Leneva",4302,9,0,0,0,0,0,0,3,7,0,6,7,8,4345,
"Wodonga",6001,1137,74,114,0,0,0,3,11,0,17,17,4,17,7379,
"Drouin",7355,386,0,314,0,0,0,0,4,136,0,0,7,8,8223,
"Mount Baw Baw Region",3008,20,4,18,0,0,0,0,4,21,3,7,3,24,3103,
"Trafalgar (Vic.)",3494,137,3,9,0,0,0,0,4,0,0,0,10,8,3662,
"Warragul",8454,463,59,376,0,0,0,8,15,185,0,10,8,16,9595,
"Alps - East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Bairnsdale",6188,850,40,111,0,0,0,5,11,20,11,11,13,23,7278,
"Bruthen - Omeo",3917,35,5,24,0,0,0,0,39,52,3,9,6,15,4099,
"Lake King",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lakes Entrance",5669,406,94,65,18,0,0,0,68,110,0,13,31,38,6504,
"Orbost",3797,99,10,29,0,0,0,0,72,12,11,4,28,42,4099,
"Paynesville",3706,234,63,36,3,0,0,0,15,35,0,4,5,9,4110,
"Foster",7319,58,14,93,0,0,0,0,42,32,4,22,8,18,7607,
"French Island",125,0,0,0,0,0,0,0,0,4,0,0,5,0,134,
"Korumburra",4162,185,8,0,0,0,0,0,4,5,4,17,4,8,4391,
"Leongatha",5013,121,23,36,0,0,0,3,8,12,0,9,10,11,5231,
"Phillip Island",11109,453,547,272,98,21,0,6,12,7,0,19,21,23,12589,
"Wilsons Promontory",10,9,0,0,0,0,0,0,0,0,0,0,0,0,13,
"Wonthaggi - Inverloch",15061,560,254,168,3,5,0,8,57,138,0,10,17,18,16303,
"Churchill",5005,10,23,63,0,0,0,3,0,0,0,3,3,10,5125,
"Moe - Newborough",6978,1119,36,327,0,0,0,0,56,10,0,0,10,10,8547,
