Australian Bureau of Statistics

"2021 Census - selected family characteristics"
"SA2 (EN) by CPRF Count of Persons in Family"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"CPRF Count of Persons in Family","Two persons in family","Three persons in family","Four persons in family","Five persons in family","Six or more persons in family","Not applicable","Total",
"SA2 (EN)",
"Mildura - South",2215,897,795,335,120,2637,7005,
"Buloke",964,273,207,116,52,1310,2919,
"Gannawarra",1130,313,245,120,49,1171,3025,
"Kerang",563,174,132,74,42,882,1869,
"Robinvale",375,145,119,90,46,661,1432,
"Swan Hill",1524,587,474,232,85,2011,4909,
"Swan Hill Surrounds",878,300,275,154,51,1085,2742,
"Echuca",2327,787,691,326,96,2652,6878,
"Kyabram",1574,574,487,264,105,1739,4739,
"Lockington - Gunbower",570,198,192,94,33,527,1614,
"Rochester",625,175,159,79,38,708,1775,
"Rushworth",695,175,145,70,29,858,1980,
"Cobram",987,253,246,114,54,1297,2959,
"Moira",449,133,132,60,25,419,1208,
"Numurkah",1811,621,508,257,113,2100,5409,
"Yarrawonga",1483,362,327,174,60,1440,3847,
"Mooroopna",1139,430,346,124,52,1795,3882,
"Shepparton - North",2340,1066,1037,426,167,3253,8288,
"Shepparton Surrounds - East",537,195,221,109,39,467,1566,
"Shepparton Surrounds - West",1390,556,484,221,72,1597,4309,
"Kialla",1092,476,557,268,118,766,3284,
"Shepparton - South East",1971,861,640,310,234,2920,6936,
"Glenelg (Vic.)",1431,444,349,170,46,1616,4054,
"Hamilton (Vic.)",1511,548,415,187,69,2019,4743,
"Portland",1740,603,489,148,64,2086,5126,
"Southern Grampians",960,271,271,155,49,1117,2829,
"Camperdown",557,150,127,68,25,710,1639,
"Colac",1673,621,554,264,93,2394,5604,
"Colac Surrounds",811,266,249,167,54,823,2372,
"Corangamite - North",831,241,192,125,41,1016,2447,
"Corangamite - South",1057,345,279,175,91,1053,3001,
"Otway",656,149,144,45,14,1078,2082,
"Moyne - East",943,341,308,184,100,996,2867,
"Moyne - West",1512,469,503,242,69,1417,4210,
"Warrnambool - North",3080,1282,1104,508,149,3379,9490,
"Warrnambool - South",1879,669,573,229,62,2639,6045,
"Migratory - Offshore - Shipping (Vic.)",0,0,0,0,0,44,44,
"Total",789690,376100,370279,135812,46901,931140,2649914,

"Dataset: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
