Australian Bureau of Statistics

"2021 Census - selected family characteristics"
"SA2 (EN) by CPRF Count of Persons in Family"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"CPRF Count of Persons in Family","Two persons in family","Three persons in family","Four persons in family","Five persons in family","Six or more persons in family","Not applicable","Total",
"SA2 (EN)",
"Brunswick West",1861,690,636,162,43,3489,6883,
"Pascoe Vale South",1084,620,830,222,43,1172,3978,
"Brunswick - North",1837,605,472,103,23,2990,6028,
"Brunswick - South",1953,542,393,76,18,3452,6432,
"Coburg - East",1670,693,609,147,52,2356,5529,
"Coburg - West",1620,835,914,266,57,1884,5573,
"Alphington - Fairfield",1048,483,541,160,26,1681,3938,
"Thornbury",2400,1047,1012,259,48,3713,8482,
"Northcote - East",1785,796,892,225,43,2780,6514,
"Northcote - West",1318,515,532,132,30,1984,4510,
"Ascot Vale",1842,915,834,255,57,2657,6560,
"Flemington",1247,422,307,95,33,2495,4601,
"Moonee Ponds",2141,846,851,272,49,3139,7305,
"Essendon (West) - Aberfeldie",1720,913,1154,394,63,2221,6463,
"Essendon - East",1547,661,599,232,53,2488,5581,
"Carlton",1919,384,200,43,51,5358,7954,
"Docklands",2858,748,247,41,12,4686,8584,
"East Melbourne",937,152,75,23,10,1494,2691,
"Flemington Racecourse",8,3,0,0,0,20,34,
"Kensington (Vic.)",1549,525,468,114,32,2414,5090,
"Parkville",669,193,120,35,14,1338,2372,
"South Yarra - West",1084,235,155,27,3,1815,3322,
"West Melbourne - Industrial",0,0,0,0,0,3,3,
"Melbourne CBD - East",1367,251,100,10,4,3781,5512,
"Melbourne CBD - North",2395,321,96,16,0,7066,9891,
"Melbourne CBD - West",2445,396,100,6,6,6268,9218,
"North Melbourne",2072,592,431,119,55,4579,7847,
"Royal Botanic Gardens Victoria",0,0,0,0,0,0,6,
"Southbank (West) - South Wharf",1163,276,115,13,4,2154,3720,
"Southbank - East",2961,547,177,22,5,5587,9295,
"West Melbourne - Residential",1225,302,151,23,9,2146,3865,
"Albert Park",2472,802,713,178,28,3502,7695,
"Elwood",2066,690,560,162,24,4180,7685,
"Port Melbourne",2518,831,737,193,33,3621,7934,
"St Kilda East",2208,655,481,127,69,4605,8148,
"Port Melbourne Industrial",285,81,49,6,4,543,959,
"South Melbourne",1871,525,383,98,20,3268,6171,
"St Kilda - Central",1888,394,195,48,8,4503,7040,
"St Kilda - West",2006,476,290,70,12,4843,7690,
"Armadale",1437,424,371,121,22,2227,4605,
"Prahran - Windsor",2967,702,493,119,11,6136,10418,
"Toorak",2003,572,507,215,41,2736,6084,
"South Yarra - North",1935,296,132,34,9,4401,6805,
"South Yarra - South",1546,399,219,51,16,3270,5500,
"Abbotsford",1502,364,208,46,11,2694,4817,
"Carlton North - Princes Hill",1213,374,287,74,12,1804,3756,
"Collingwood",1549,304,167,52,29,2809,4909,
"Fitzroy",1560,370,246,69,35,2871,5144,
"Fitzroy North",1741,522,506,147,30,3014,5968,
"Clifton Hill - Alphington",1313,492,504,138,20,1786,4255,
"Richmond (South) - Cremorne",2684,733,571,140,17,4515,8656,
"Richmond - North",2122,613,348,108,32,3980,7203,
"Ashburton (Vic.)",753,507,637,199,35,764,2900,
"Balwyn",1936,1090,1084,321,70,2117,6624,
"Balwyn North",2053,1341,1760,606,127,1752,7633,
"Camberwell",2528,1153,1424,478,108,2517,8212,
"Glen Iris - East",1833,956,1374,446,62,1697,6360,
"Hawthorn East",2104,735,832,292,46,3082,7092,
"Kew East",712,377,504,166,28,705,2483,
"Surrey Hills (West) - Canterbury",1893,895,1101,428,88,1721,6135,
"Hawthorn - North",1269,419,508,163,27,1986,4370,
"Hawthorn - South",1625,484,464,161,40,3073,5839,
"Kew - South",1376,632,673,261,64,1543,4556,
"Kew - West",1554,756,714,275,50,1953,5307,
"Bulleen",1532,757,773,215,40,1284,4589,
"Doncaster",3628,1690,1351,394,85,3615,10770,
"Templestowe",2108,1128,1154,417,88,1395,6291,
"Templestowe Lower",1763,999,970,295,53,1353,5435,
"Doncaster East - North",1891,1091,1178,369,85,1211,5817,
"Doncaster East - South",1815,1061,1152,281,63,1778,6146,
"Blackburn",2566,1299,1560,470,105,2844,8843,
"Blackburn South",1185,691,764,247,50,1405,4343,
"Box Hill",3012,1210,1066,309,52,4611,10257,
"Box Hill North",2113,1194,1232,342,75,2322,7280,
"Burwood (Vic.)",1377,661,535,165,37,2248,5021,
"Burwood East",1412,722,654,161,35,1418,4402,
"Surrey Hills (East) - Mont Albert",1288,651,635,210,39,1258,4073,
"Beaumaris",1742,754,1097,380,67,1289,5328,
"Brighton (Vic.)",3056,1276,1335,491,101,3160,9425,
"Brighton East",1778,958,1283,407,75,1717,6215,
"Highett (West) - Cheltenham",1398,774,919,277,36,1598,5001,
"Hampton",2080,1077,1293,427,66,2429,7376,
"Sandringham - Black Rock",2350,903,1096,405,64,2378,7189,
"Bentleigh - McKinnon",2829,1522,1828,558,78,3125,9945,
"Carnegie",2572,1043,921,236,23,3850,8653,
"Caulfield - North",2761,1011,918,486,306,3874,9356,
"Caulfield - South",2222,982,1185,390,71,2347,7207,
"Elsternwick",1519,578,643,227,68,2235,5273,
